,REGIONAL,DEPARTAMENTO,CIUDAD,NOMBRE_OFICINA
419,ANTIOQUIA,ANTIOQUIA,CAUCASIA,CAUCASIA
420,ANTIOQUIA,ANTIOQUIA,APARTADO,APARTADO
421,ANTIOQUIA,ANTIOQUIA,MEDELLIN,EXITO ROBLEDO
422,ANTIOQUIA,ANTIOQUIA,RIONEGRO,SAN NICOLAS RIONEGRO
423,ANTIOQUIA,ANTIOQUIA,BELLO,CENCOSUD METRO BELLO
424,ANTIOQUIA,ANTIOQUIA,RIONEGRO,RIONEGRO ANTIOQUIA
425,ANTIOQUIA,ANTIOQUIA,MEDELLIN,PLAZA LA LIBERTAD
426,ANTIOQUIA,ANTIOQUIA,ANDES,ANDES
427,ANTIOQUIA,ANTIOQUIA,YARUMAL,YARUMAL
428,ANTIOQUIA,ANTIOQUIA,AMALFI,AMALFI
429,ANTIOQUIA,ANTIOQUIA,MEDELLIN,MILLA DE ORO
430,ANTIOQUIA,ANTIOQUIA,CIUDAD BOLIVAR,CIUDAD BOLIVAR
431,ANTIOQUIA,ANTIOQUIA,SONSON,SONSON
432,ANTIOQUIA,ANTIOQUIA,FREDONIA,FREDONIA
433,ANTIOQUIA,ANTIOQUIA,AMAGA,AMAGA
434,ANTIOQUIA,ANTIOQUIA,SALGAR,SALGAR
435,ANTIOQUIA,ANTIOQUIA,ABEJORRAL,ABEJORRAL
436,ANTIOQUIA,ANTIOQUIA,SANTA BARBARA,SANTA BARBARA ANTIOQUIA
437,ANTIOQUIA,ANTIOQUIA,MEDELLIN,UNICENTRO MEDELLIN 2
438,ANTIOQUIA,ANTIOQUIA,EL SANTUARIO,EL SANTUARIO ANTIOQUIA
439,ANTIOQUIA,ANTIOQUIA,BELLO,PUERTA DEL NORTE
440,ANTIOQUIA,ANTIOQUIA,ENVIGADO,CITI PLAZA ENVIGADO
441,ANTIOQUIA,ANTIOQUIA,JARDIN,JARDIN
442,ANTIOQUIA,ANTIOQUIA,VENECIA,VENECIA
443,ANTIOQUIA,ANTIOQUIA,MEDELLIN,SECTOR NUTIBARA
444,ANTIOQUIA,ANTIOQUIA,BETULIA,BETULIA
445,ANTIOQUIA,ANTIOQUIA,JERICO,JERICO
446,ANTIOQUIA,ANTIOQUIA,MEDELLIN,OLAYA HERRERA
447,ANTIOQUIA,ANTIOQUIA,TAMESIS,TAMESIS
448,ANTIOQUIA,ANTIOQUIA,MEDELLIN,PUNTO CLAVE 
449,ANTIOQUIA,ANTIOQUIA,MEDELLIN,INTER PLAZA
450,CUNDINAMARCA,CUNDINAMARCA,FUSAGASUGA,FUSAGASUGA
451,CUNDINAMARCA,CUNDINAMARCA,FUSAGASUGA,FUSAGASUGA PARQUE PRINCIPAL
452,CENTRO SUR,BOYACA,PAIPA,PAIPA
453,CENTRO SUR,TOLIMA,MELGAR,MELGAR
454,BOGOTA,BOGOTA,BOGOTA,GRAN AMERICA
455,CUNDINAMARCA,CUNDINAMARCA,FACATATIVA,FACATATIVA
456,BOGOTA,BOGOTA,BOGOTA,SHOW PLACE
457,BOGOTA,BOGOTA,BOGOTA,NORTH POINT
458,BOGOTA,BOGOTA,BOGOTA,UNICENTRO 2
459,BOGOTA,BOGOTA,BOGOTA,LISBOA
460,BOGOTA,BOGOTA,BOGOTA,PORTAL DE LA 80
461,CUNDINAMARCA,CUNDINAMARCA,CHIA,CENTRO CHIA
462,BOGOTA,BOGOTA,BOGOTA,PLAZA IMPERIAL
463,BOGOTA,BOGOTA,BOGOTA,PALATINO
464,BOGOTA,BOGOTA,BOGOTA,GRAN ESTACION
465,BOGOTA,BOGOTA,BOGOTA,SANTAFE
466,BOGOTA,BOGOTA,BOGOTA,CENCOSUD METRO FONTIBON
467,BOGOTA,BOGOTA,BOGOTA,TINTAL PLAZA
468,BOGOTA,BOGOTA,BOGOTA,MILENIO PLAZA
469,CUNDINAMARCA,CUNDINAMARCA,MADRID,MADRID
470,BOGOTA,BOGOTA,BOGOTA,FLORESTA OUTLET
471,BOGOTA,BOGOTA,BOGOTA,TORRE CENTRAL
472,BOGOTA,BOGOTA,BOGOTA,EXITO OCCIDENTE
473,CUNDINAMARCA,CUNDINAMARCA,SOACHA,MERCURIO
474,BOGOTA,BOGOTA,BOGOTA,LOURDES
475,BOGOTA,BOGOTA,BOGOTA,CALLE 94
476,BOGOTA,BOGOTA,BOGOTA,CENTRO ANDINO
477,BOGOTA,BOGOTA,BOGOTA,CENTRO INTERNACIONAL
478,BOGOTA,BOGOTA,BOGOTA,SANTA BEATRIZ
479,BOGOTA,BOGOTA,BOGOTA,PORTOALEGRE
480,BOGOTA,BOGOTA,BOGOTA,SEARS
481,BOGOTA,BOGOTA,BOGOTA,CENTRO
482,BOGOTA,BOGOTA,BOGOTA,SANTA PAULA
483,BOGOTA,BOGOTA,BOGOTA,ALAMOS DIVER PLAZA
484,BOGOTA,BOGOTA,BOGOTA,HOMECENTER CALLE 170
485,CUNDINAMARCA,CUNDINAMARCA,SUBACHOQUE,SUBACHOQUE
486,CUNDINAMARCA,CUNDINAMARCA,FUNZA,FUNZA
487,BOGOTA,BOGOTA,BOGOTA,BAZAAR ALSACIA
488,BOGOTA,BOGOTA,BOGOTA,CENTRO MAYOR
489,BOGOTA,BOGOTA,BOGOTA,HAYUELOS 
490,CUNDINAMARCA,CUNDINAMARCA,CAJICA,CAJICA
491,CUNDINAMARCA,CUNDINAMARCA,LA CALERA,LA CALERA
492,CUNDINAMARCA,CUNDINAMARCA,COTA,TERMINAL TERRESTRE DE CARGA
493,BOGOTA,BOGOTA,BOGOTA,ALTAVISTA USME
494,BOGOTA,BOGOTA,BOGOTA,MULTIDRIVE COLINA
495,CUNDINAMARCA,CUNDINAMARCA,SOPO,SOPO
496,BOGOTA,BOGOTA,BOGOTA,ZONA FRANCA
497,CUNDINAMARCA,CUNDINAMARCA,EL ROSAL,EL ROSAL 
498,CUNDINAMARCA,CUNDINAMARCA,COTA,COTA
499,CUNDINAMARCA,CUNDINAMARCA,PACHO,PACHO
500,BOGOTA,BOGOTA,BOGOTA,TITAN PLAZA
501,CUNDINAMARCA,CUNDINAMARCA,TOCANCIPA,TOCANCIPA
502,CUNDINAMARCA,CUNDINAMARCA,SIBATE,SIBATE
503,BOGOTA,BOGOTA,BOGOTA,AVIANCA
504,BOGOTA,BOGOTA,BOGOTA,SOLUZONA
